ETCID,mode,railroute,routerun,routeblock,triptime,tripday,daytype,raffle,recommend,workshard,defendmetro,goodvalue,satisfaction,frequency,duration ,ontime,connections,accurateinfo,vehseating,stopclean,busshade,vehroom,vehcomfort,vehclean,homelessness,raceharass,sexharrass,crimesafe,grafitti,enforcement,courtesy,buswifi,delayinfo,payeasy,infoplan,stoplighting,escalator1,elevator1,celltrain,traininfo,escalator2,escalator2,carpark,bikepark,topbus1,topbus2,topbus3,toprail1,toprail2,toprail3,caracc,rideoften,yearsriding,smartphone,paytype,faretype,age,fareother,discount,whatdiscount,latinx,black,white,asianpac,natam,another,anotherwhat,hhsize,english,spanish,chinese,tagalog,korean,armenian,anotherlang,whichlang,engskill,income,gender,whatgender,disabilities,lowvision,blind,deafhard,wheelchair,nowheelchair,mentalcog,disabother,whatdisab,lang_count,LowVision_num,Blindness_num,DeafHoH_num,Mobility_num,MobilityNoChair_num,MentalCognitive_num,OtherDisability_num,MultipleDisabilities,Disability_num,Gender_bis,WeightFactor
105994,B,2,2-062,2-062,5,1,1,1,3,2,2,5,3,2,4,4,4,4,2,2,4,3,4,3,2,5,2,3,3,4,5,0,1,5,3,3,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,9,5,#NULL!,#NULL!,#NULL!,2,4,4,1,1,4,3,,2,#NULL!,Y,,Y,,,,,2,Y,,,,,,,,1,2,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
106205,B,2,2-062,2-062,5,1,1,1,5,5,5,5,5,2,3,1,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,5,9,9,9,4,,9,#NULL!,,,Y,,,,,1,Y,,,,,,,,1,1,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
106207,B,2,2-062,2-062,5,1,1,2,4,1,9,4,9,2,3,1,4,1,2,1,4,1,3,3,3,1,2,3,3,1,4,2,1,3,1,2,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,9,#NULL!,#NULL!,#NULL!,1,5,4,1,3,4,3,,2,#NULL!,,,,,,Y,Not specified,2,Y,,,,,,,,1,3,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
106215,B,2,2-062,2-062,5,1,1,1,2,2,2,4,3,1,2,1,4,1,3,1,1,2,3,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,1,1,5,,1,4,Y,,,,,,,6,Y,Y,,,,,,,1,9,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
106216,B,2,2-062,2-062,5,1,1,1,4,4,3,5,4,4,4,4,4,4,4,3,3,3,2,2,1,3,4,3,2,3,4,5,1,4,4,3,2,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,12,20,9,#NULL!,#NULL!,#NULL!,1,5,4,1,1,1,4,,2,#NULL!,,,Y,,,,,1,Y,,,,,,,,1,3,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
106217,B,2,2-062,2-062,5,1,1,1,5,3,3,5,4,3,1,4,4,4,2,2,2,4,2,1,1,2,1,2,3,2,4,3,2,5,3,2,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,14,12,2,#NULL!,#NULL!,#NULL!,2,5,2,1,1,1,3,,2,#NULL!,,,Y,,,,,2,Y,,,,,,,,1,4,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
106218,B,2,2-062,2-062,5,1,1,1,5,4,4,5,3,3,3,4,4,4,4,1,3,3,3,3,3,3,4,4,1,3,4,5,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,14,12,2,#NULL!,#NULL!,#NULL!,2,5,2,1,1,1,4,,2,#NULL!,,,Y,,,,,99,Y,,,,,,,,1,4,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
106219,B,2,2-062,2-062,5,1,1,2,3,3,1,2,3,3,3,3,4,5,3,4,4,3,3,3,4,3,5,4,3,3,4,2,2,3,4,0,5,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,3,1,1,3,3,2,,2,#NULL!,Y,,,,,,,5,,Y,,,,,,,2,9,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
106221,B,2,2-062,2-062,5,1,1,2,2,2,5,5,5,5,5,5,5,5,5,3,5,4,4,3,4,4,5,5,5,5,5,3,3,4,3,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,3,1,1,4,3,,9,#NULL!,,Y,,,,,,1,Y,,,,,,,,1,3,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
106223,B,2,2-062,2-062,5,1,1,1,4,4,4,5,4,4,5,5,5,5,4,4,4,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,1,1,4,,1,4,Y,,,,,,,4,,Y,,,,,,,2,1,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
